,tax_year,academic_year,YAG,sex,subject_name,provider_name,earnings_median,earnings_LQ,earnings_median,earnings_UQ
253,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The University of Wolverhampton,35800,25900,35800,53300
254,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",University Campus Suffolk,51100,35400,51100,58000
255,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",University College London,31800,26000,31800,40500
256,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",University for the Creative Arts,27000,23700,27000,31800
257,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",University of Bedfordshire,31000,13100,31000,44900
258,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",University of Derby,30300,25600,30300,37600
259,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",University of Gloucestershire,30500,26000,30500,33700
260,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",University of Hertfordshire,c,c,c,c
261,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",University of Newcastle-upon-Tyne,33900,25900,33900,44200
262,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",University of Northumbria at Newcastle,36100,27400,36100,45300
263,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",University of Nottingham,31300,27000,31300,39400
264,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",University of Plymouth,29600,22600,29600,36500
265,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",University of South Wales,38900,30700,38900,44200
266,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning","University of the Arts, London",25900,9900,25900,29200
267,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",University of the Highlands and Islands,c,c,c,c
268,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning","University of the West of England, Bristol",36900,28100,36900,48200
269,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",University of Wales Trinity Saint David,31000,24300,31000,40200
270,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning","University of Wales, Newport",c,c,c,c
271,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Writtle College,c,c,c,c
272,2018/2019,2012/2013,5,Female + male,Biosciences,Bishop Burton College,19700,15300,19700,24100
273,2018/2019,2012/2013,5,Female + male,Biosciences,Blackpool and the Fylde College,23700,17400,23700,27500
